courseCode,name,credits,courseType,mainArea
CS101,프로그래밍 기초,3,BASIC_REQUIRED,THEORY
MAS110,데이터과학을 위한 선형대수학,3,BASIC_ELECTIVE,DATA_SCIENCE
CS109,프로그래밍 실습,3,BASIC_ELECTIVE,THEORY
MAS109,선형대수학개론,3,BASIC_ELECTIVE,THEORY
CS204,이산구조,3,MAJOR_REQUIRED,THEORY
CS206,데이터구조,3,MAJOR_REQUIRED,DATA_SCIENCE
CS300,알고리즘 개론,3,MAJOR_REQUIRED,THEORY
CS311,전산기조직,3,MAJOR_REQUIRED,SYSTEM_NETWORK
CS320,프로그래밍 언어,3,MAJOR_REQUIRED,THEORY
CS330,운영체제 및 실험,4,MAJOR_REQUIRED,SYSTEM_NETWORK
CS230,시스템 프로그래밍,3,MAJOR_ELECTIVE,SYSTEM_NETWORK
CS341,전산망개론,4,MAJOR_ELECTIVE,SYSTEM_NETWORK
CS361,데이터 사이언스 개론,3,MAJOR_ELECTIVE,DATA_SCIENCE
CS360,데이터베이스 개론,3,MAJOR_ELECTIVE,DATA_SCIENCE
CS350,소프트웨어 공학개론,3,MAJOR_ELECTIVE,SOFTWARE_DESIGN
CS453,소프트웨어 테스팅 자동화 기법,3,MAJOR_ELECTIVE,SOFTWARE_DESIGN
CS454,인공 지능 기반 소프트웨어 공학,3,MAJOR_ELECTIVE,SOFTWARE_DESIGN
CS457,스마트환경을 위한 요구공학,3,MAJOR_ELECTIVE,SOFTWARE_DESIGN
CS211,디지털시스템 및 실험,4,MAJOR_ELECTIVE,SYSTEM_NETWORK
CS310,내장형 컴퓨터 시스템,4,MAJOR_ELECTIVE,SYSTEM_NETWORK
CS422,계산이론,3,MAJOR_ELECTIVE,THEORY
CS443,분산 알고리즘 및 시스템,3,MAJOR_ELECTIVE,SYSTEM_NETWORK
CS376,기계학습,3,MAJOR_ELECTIVE,AI
CS482,대화형 컴퓨터그래픽스,3,MAJOR_ELECTIVE,VISUAL_COMPUTING
CS485,컴퓨터비전을 위한 기계학습,3,MAJOR_ELECTIVE,VISUAL_COMPUTING
CS380,컴퓨터그래픽스 개론,4,MAJOR_ELECTIVE,VISUAL_COMPUTING
CS484,컴퓨터비전개론,3,MAJOR_ELECTIVE,VISUAL_COMPUTING
CS402,전산논리학 개론,3,MAJOR_ELECTIVE,THEORY
CS202,문제해결기법,3,MAJOR_ELECTIVE,THEORY
CS322,형식언어 및 오토마타,3,MAJOR_ELECTIVE,THEORY
CS431,동시성 프로그래밍,3,MAJOR_ELECTIVE,SYSTEM_NETWORK
CS458,소프트웨어 소스 코드 기반 동적 분석,3,MAJOR_ELECTIVE,SOFTWARE_DESIGN
CS481,데이터 시각화,3,MAJOR_ELECTIVE,DATA_SCIENCE
CS459,서비스 컴퓨팅 개론,3,MAJOR_ELECTIVE,SOFTWARE_DESIGN
CS220,프로그래밍의 이해,3,MAJOR_ELECTIVE,THEORY
CS370,심볼릭 프로그래밍,3,MAJOR_ELECTIVE,THEORY
CS477,지능로봇공학 개론,3,MAJOR_ELECTIVE,AI
CS479,3차원 데이터를 위한 기계 학습,3,MAJOR_ELECTIVE,AI
CS475,자연언어처리를 위한 기계학습,3,MAJOR_ELECTIVE,AI
CS420,컴파일러 설계,3,MAJOR_ELECTIVE,SECURE_COMPUTING
CS447,웹 보안 공격 실습,3,MAJOR_ELECTIVE,SECURE_COMPUTING
CS348,정보보호개론,3,MAJOR_ELECTIVE,SECURE_COMPUTING
CS442,모바일 컴퓨팅과 응용,3,MAJOR_ELECTIVE,INTERACTIVE_COMPUTING
CS374,인간-컴퓨터 상호작용 개론,3,MAJOR_ELECTIVE,INTERACTIVE_COMPUTING
CS473,소셜 컴퓨팅 개론,3,MAJOR_ELECTIVE,SOCIAL_COMPUTING
CS372,파이썬을 통한 자연언어처리,3,MAJOR_ELECTIVE,AI
CS470,인공지능개론,3,MAJOR_ELECTIVE,AI
CS489,컴퓨터 윤리와 사회문제,3,MAJOR_ELECTIVE,SOCIAL_COMPUTING
CS270,지능 로봇 설계 및 프로그래밍,3,MAJOR_ELECTIVE,AI
CS411,인공지능을 위한 시스템,3,MAJOR_ELECTIVE,AI
CS371,딥러닝 개론,3,MAJOR_ELECTIVE,AI
CS474,텍스트마이닝,3,MAJOR_ELECTIVE,AI
CS471,그래프 기계학습 및 마이닝,3,MAJOR_ELECTIVE,AI
CS423,확률적 프로그래밍,3,MAJOR_ELECTIVE,AI
CS486,웨어러블 사용자 인터페이스,3,MAJOR_ELECTIVE,INTERACTIVE_COMPUTING
CS377,강화학습 개론,3,MAJOR_ELECTIVE,AI
CS30708,생성모델 개론,3,MAJOR_ELECTIVE,AI
CS408,전산학 프로젝트,3,MAJOR_ELECTIVE,SOFTWARE_DESIGN
CS424,프로그램 논증,3,MAJOR_ELECTIVE,THEORY
CS40710,돌봄 및 사회적 약자를 위한 AI 및 컴퓨팅,3,MAJOR_ELECTIVE,AI
CS492,전산학특강,3,MAJOR_ELECTIVE,SOFTWARE_DESIGN
