courseCode,interestAreaName
CS101,THEORY
CS109,THEORY
CS202,THEORY
CS204,THEORY
CS204,SECURE_COMPUTING
CS206,DATA_SCIENCE
CS206,THEORY
CS211,SYSTEM_NETWORK
CS220,THEORY
CS230,SYSTEM_NETWORK
CS230,SECURE_COMPUTING
CS270,AI_INFORMATION_SERVICE
CS270,INTERACTIVE_COMPUTING
CS300,THEORY
CS310,SYSTEM_NETWORK
CS311,SYSTEM_NETWORK
CS320,THEORY
CS322,THEORY
CS330,SYSTEM_NETWORK
CS330,SECURE_COMPUTING
CS341,SYSTEM_NETWORK
CS341,SECURE_COMPUTING
CS348,SECURE_COMPUTING
CS350,SOFTWARE_DESIGN
CS360,DATA_SCIENCE
CS360,SOCIAL_COMPUTING
CS361,DATA_SCIENCE
CS370,THEORY
CS371,AI_INFORMATION_SERVICE
CS372,AI_INFORMATION_SERVICE
CS372,SOCIAL_COMPUTING
CS374,SOCIAL_COMPUTING
CS374,INTERACTIVE_COMPUTING
CS376,VISUAL_COMPUTING
CS376,AI_INFORMATION_SERVICE
CS380,VISUAL_COMPUTING
CS380,INTERACTIVE_COMPUTING
CS402,THEORY
CS411,AI_INFORMATION_SERVICE
CS420,SECURE_COMPUTING
CS422,SYSTEM_NETWORK
CS423,AI_INFORMATION_SERVICE
CS431,THEORY
CS442,SOCIAL_COMPUTING
CS442,INTERACTIVE_COMPUTING
CS443,SYSTEM_NETWORK
CS443,THEORY
CS447,SECURE_COMPUTING
CS453,SOFTWARE_DESIGN
CS454,SOFTWARE_DESIGN
CS457,SOFTWARE_DESIGN
CS458,THEORY
CS459,THEORY
CS470,AI_INFORMATION_SERVICE
CS470,SOCIAL_COMPUTING
CS471,AI_INFORMATION_SERVICE
CS473,SOCIAL_COMPUTING
CS473,INTERACTIVE_COMPUTING
CS474,AI_INFORMATION_SERVICE
CS475,THEORY
CS477,THEORY
CS479,THEORY
CS479,AI_INFORMATION_SERVICE
CS481,THEORY
CS482,VISUAL_COMPUTING
CS482,INTERACTIVE_COMPUTING
CS484,VISUAL_COMPUTING
CS484,AI_INFORMATION_SERVICE
CS485,VISUAL_COMPUTING
CS486,INTERACTIVE_COMPUTING
CS489,SOCIAL_COMPUTING
