courseCode,prerequisiteCourseCode,relationType
CS109,CS101,RECOMMENDED
CS300,CS204,PREREQUISITE
CS300,CS206,PREREQUISITE
CS311,CS211,RECOMMENDED
CS311,CS230,PREREQUISITE
CS320,CS204,RECOMMENDED
CS320,CS230,RECOMMENDED
CS330,CS230,PREREQUISITE
CS341,CS230,PREREQUISITE
CS361,CS206,PREREQUISITE
CS360,CS206,PREREQUISITE
CS310,CS211,RECOMMENDED
CS422,CS300,PREREQUISITE
CS402,CS300,PREREQUISITE
CS402,CS320,PREREQUISITE
CS459,CS330,PREREQUISITE
CS420,CS320,PREREQUISITE
CS420,CS230,PREREQUISITE
CS348,CS230,PREREQUISITE
CS348,CS220,RECOMMENDED
CS348,CS341,RECOMMENDED
CS453,CS350,RECOMMENDED
CS454,CS350,RECOMMENDED
CS457,CS350,RECOMMENDED
CS202,CS300,PREREQUISITE
CS371,CS376,PREREQUISITE
CS479,CS380,PREREQUISITE
CS479,CS371,PREREQUISITE
CS377,CS376,PREREQUISITE
CS471,CS376,PREREQUISITE
CS211,CS310,INCOMPATIBLE
CS211,CS330,INCOMPATIBLE
CS211,CS341,INCOMPATIBLE
CS211,CS380,INCOMPATIBLE
CS310,CS330,INCOMPATIBLE
CS310,CS341,INCOMPATIBLE
CS310,CS380,INCOMPATIBLE
CS330,CS341,INCOMPATIBLE
CS330,CS380,INCOMPATIBLE
CS341,CS380,INCOMPATIBLE
MAS110,MAS109,INCOMPATIBLE
