sectionKey,courseCode,year,semester,sectionNumber,professor
2026F-CS101-A,CS101,2026,FALL,A,이기혁
2026F-CS101-B,CS101,2026,FALL,B,이기혁
2026F-CS101-C,CS101,2026,FALL,C,이기혁
2026F-CS101-D,CS101,2026,FALL,D,이기혁
2026F-CS101-E,CS101,2026,FALL,E,이기혁
2026F-CS101-F,CS101,2026,FALL,F,고인영
2026F-CS101-G,CS101,2026,FALL,G,고인영
2026F-CS101-H,CS101,2026,FALL,H,고인영
2026F-CS101-I,CS101,2026,FALL,I,고인영
2026F-CS101-J,CS101,2026,FALL,J,고인영
2026F-CS109-A,CS109,2026,FALL,A,문은영
2026F-CS202-A,CS202,2026,FALL,A,한민기
2026F-CS204-A,CS204,2026,FALL,A,박진아
2026F-CS204-B,CS204,2026,FALL,B,이주영
2026F-CS206-A,CS206,2026,FALL,A,문은영
2026F-CS230-A,CS230,2026,FALL,A,허재혁
2026F-CS300-A,CS300,2026,FALL,A,최성희
2026F-CS311-A,CS311,2026,FALL,A,김순태
2026F-CS320-A,CS320,2026,FALL,A,류석영
2026F-CS322-A,CS322,2026,FALL,A,루하니 샤르마
2026F-CS330-A,CS330,2026,FALL,A,권영진
2026F-CS341-A,CS341,2026,FALL,A,강민석
2026F-CS350-A,CS350,2026,FALL,A,유신
2026F-CS360-A,CS360,2026,FALL,A,김명호
2026F-CS371-A,CS371,2026,FALL,A,홍승훈
2026F-CS470-A,CS470,2026,FALL,A,박노성
2026F-CS374-A,CS374,2026,FALL,A,이의진
2026F-CS484-A,CS484,2026,FALL,A,김민혁
2026F-CS376-A,CS376,2026,FALL,A,황지영
2026F-CS377-A,CS377,2026,FALL,A,안성진
2026F-CS30708-A,CS30708,2026,FALL,A,성민혁
2026F-CS408-A,CS408,2026,FALL,A,차상길
2026F-CS422-A,CS422,2026,FALL,A,위다레흐트 세버스티언
2026F-CS424-A,CS424,2026,FALL,A,허기홍
2026F-CS454-A,CS454,2026,FALL,A,유신
2026F-CS458-A,CS458,2026,FALL,A,김문주
2026F-CS473-A,CS473,2026,FALL,A,시어링 조셉
2026F-CS475-A,CS475,2026,FALL,A,오혜연
2026F-CS40710-A,CS40710,2026,FALL,A,송준화
2026F-CS492-A,CS492,2026,FALL,A,류석영
2026F-CS492-B,CS492,2026,FALL,B,마틴 지글러
2026F-CS492-C,CS492,2026,FALL,C,오태현
2026F-CS492-D,CS492,2026,FALL,D,한민기
2026F-CS492-E,CS492,2026,FALL,E,"한동수,5개 과기대 융합교육"
