sectionKey,dayOfWeek,startTime,endTime,classroom
2026F-CS101-A,MONDAY,10:30,12:30,(E11) 창의학습관 (304호)강의실
2026F-CS101-A,MONDAY,13:00,16:00,(E11) 창의학습관 (307호)강의실
2026F-CS101-B,MONDAY,10:30,12:30,(E11) 창의학습관 (304호)강의실
2026F-CS101-B,MONDAY,13:00,16:00,(E11) 창의학습관 (308호)강의실
2026F-CS101-C,MONDAY,10:30,12:30,(E11) 창의학습관 (304호)강의실
2026F-CS101-C,TUESDAY,09:00,12:00,(E11) 창의학습관 (307호)강의실
2026F-CS101-D,MONDAY,10:30,12:30,(E11) 창의학습관 (304호)강의실
2026F-CS101-D,TUESDAY,09:00,12:00,(E11) 창의학습관 (308호)강의실
2026F-CS101-E,MONDAY,10:30,12:30,(E11) 창의학습관 (304호)강의실
2026F-CS101-E,WEDNESDAY,13:00,16:00,(E11) 창의학습관 (307호)강의실
2026F-CS101-F,MONDAY,10:30,12:30,(E11) 창의학습관 (104호)강의실-터만홀
2026F-CS101-F,WEDNESDAY,13:00,16:00,(E11) 창의학습관 (308호)강의실
2026F-CS101-G,MONDAY,10:30,12:30,(E11) 창의학습관 (104호)강의실-터만홀
2026F-CS101-G,THURSDAY,09:00,12:00,(E11) 창의학습관 (307호)강의실
2026F-CS101-H,MONDAY,10:30,12:30,(E11) 창의학습관 (104호)강의실-터만홀
2026F-CS101-H,THURSDAY,09:00,12:00,(E11) 창의학습관 (308호)강의실
2026F-CS101-I,MONDAY,10:30,12:30,(E11) 창의학습관 (104호)강의실-터만홀
2026F-CS101-I,FRIDAY,09:00,12:00,(E11) 창의학습관 (307호)강의실
2026F-CS101-J,MONDAY,10:30,12:30,(E11) 창의학습관 (104호)강의실-터만홀
2026F-CS101-J,FRIDAY,09:00,12:00,(E11) 창의학습관 (308호)강의실
2026F-CS109-A,TUESDAY,10:30,11:30,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS109-A,THURSDAY,10:30,11:30,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS202-A,FRIDAY,13:00,16:00,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS204-A,TUESDAY,13:00,14:30,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS204-A,THURSDAY,13:00,14:30,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS204-B,TUESDAY,13:00,14:30,(501) 본원캠퍼스기타(기타) 비대면강의(시험장소 별도)
2026F-CS204-B,THURSDAY,13:00,14:30,(501) 본원캠퍼스기타(기타) 비대면강의(시험장소 별도)
2026F-CS206-A,MONDAY,10:30,12:00,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS206-A,WEDNESDAY,10:30,12:00,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS230-A,TUESDAY,14:30,16:00,(N1) 김병호김삼열IT융합빌딩 (117호) 다목적홀
2026F-CS230-A,THURSDAY,14:30,16:00,(N1) 김병호김삼열IT융합빌딩 (117호) 다목적홀
2026F-CS300-A,TUESDAY,10:30,12:00,(501) 본원캠퍼스기타(기타) 비대면강의(시험장소 별도)
2026F-CS300-A,THURSDAY,10:30,12:00,(501) 본원캠퍼스기타(기타) 비대면강의(시험장소 별도)
2026F-CS311-A,TUESDAY,14:30,16:00,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS311-A,THURSDAY,14:30,16:00,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS320-A,MONDAY,14:30,16:00,
2026F-CS320-A,WEDNESDAY,14:30,16:00,
2026F-CS322-A,TUESDAY,14:30,16:00,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS322-A,THURSDAY,14:30,16:00,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS330-A,MONDAY,13:00,14:30,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS330-A,MONDAY,19:00,22:00,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS330-A,WEDNESDAY,13:00,14:30,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS341-A,TUESDAY,13:00,14:30,(N1) 김병호김삼열IT융합빌딩 (117호) 다목적홀
2026F-CS341-A,THURSDAY,13:00,14:30,(N1) 김병호김삼열IT융합빌딩 (117호) 다목적홀
2026F-CS341-A,THURSDAY,19:00,22:00,(N1) 김병호김삼열IT융합빌딩 (117호) 다목적홀
2026F-CS350-A,MONDAY,13:00,14:30,(E3-1) 정보전자공학동 (1101호)강의실
2026F-CS350-A,WEDNESDAY,13:00,14:30,(E3-1) 정보전자공학동 (1101호)강의실
2026F-CS360-A,TUESDAY,16:00,17:30,(E3-1) 정보전자공학동 (2443호)강의실-3강의실
2026F-CS360-A,THURSDAY,16:00,17:30,(E3-1) 정보전자공학동 (2443호)강의실-3강의실
2026F-CS371-A,MONDAY,16:00,17:30,(E11) 창의학습관 (304호)강의실
2026F-CS371-A,WEDNESDAY,16:00,17:30,(E11) 창의학습관 (304호)강의실
2026F-CS470-A,TUESDAY,10:30,12:00,(501) 본원캠퍼스기타(기타) 비대면강의(시험장소 별도)
2026F-CS470-A,THURSDAY,10:30,12:00,(501) 본원캠퍼스기타(기타) 비대면강의(시험장소 별도)
2026F-CS374-A,MONDAY,10:30,12:00,(N1) 김병호김삼열IT융합빌딩 (117호) 다목적홀
2026F-CS374-A,WEDNESDAY,10:30,12:00,(N1) 김병호김삼열IT융합빌딩 (117호) 다목적홀
2026F-CS484-A,TUESDAY,13:00,14:30,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS484-A,THURSDAY,13:00,14:30,(E3-1) 정보전자공학동 (1501호)강의실-제1공동강의실
2026F-CS376-A,MONDAY,10:30,12:00,(501) 본원캠퍼스기타(기타) 비대면강의(시험장소 별도)
2026F-CS376-A,WEDNESDAY,10:30,12:00,(501) 본원캠퍼스기타(기타) 비대면강의(시험장소 별도)
2026F-CS377-A,MONDAY,16:00,17:30,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS377-A,WEDNESDAY,16:00,17:30,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS30708-A,MONDAY,10:30,12:00,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS30708-A,WEDNESDAY,10:30,12:00,(E3-5) 크래프톤 (210호)대형강의실
2026F-CS408-A,TUESDAY,10:30,12:00,(N5) 융합연구동 (2243호)기타-강의실
2026F-CS408-A,THURSDAY,10:30,12:00,(N5) 융합연구동 (2243호)기타-강의실
2026F-CS422-A,MONDAY,16:00,17:30,(E3-1) 정보전자공학동 (1101호)강의실
2026F-CS422-A,WEDNESDAY,16:00,17:30,(E3-1) 정보전자공학동 (1101호)강의실
2026F-CS424-A,MONDAY,09:00,10:30,(N1) 김병호김삼열IT융합빌딩 (201호)강의실-이융 강의실(계단식 강의실)
